English,Turkish
you,Sen
I,BEN
and,Ve
that,O
of,ile ilgili
is,öyle
in,içinde
what,Ne
we,Biz
me,Ben
this,Bu
he,O
for,için
my,Benim
on,Açık
have,sahip olmak
your,senin
do,Yapmak
was,öyleydi
m,M
no,HAYIR
not,Olumsuz
be,olmak
are,öyle
don,giymek
re,tekrar
know,Bilmek
can,olabilmek
with,ile
but,Ancak
all,Tümü
so,Bu yüzden
just,Sadece
there,Orası
here,Burada
they,Onlar
like,beğenmek
ll,LL
get,elde etmek
she,o
go,Gitmek
if,eğer
right,Sağ
out,dışarı
about,hakkında
up,yukarı
at,en
him,o
now,Şimdi
oh,ah
one,bir
come,Gelmek
well,Peki
her,o
how,Nasıl
yeah,Evet
ve,ve
will,irade
got,var
want,istek
think,düşünmek
as,gibi
see,Görmek
did,yaptım
good,iyi
who,kim
why,Neden
from,itibaren
let,izin vermek
his,onun
yes,Evet
when,Ne zaman
going,giden
time,zaman
an,BİR
okay,Tamam
back,geri
look,Bakmak
us,biz
would,istemek
them,onlara
where,Neresi
were,vardı
take,almak
then,Daha sonra
had,vardı
or,veya
been,oldu
our,bizim
gonna,yapacağım
tell,söylemek
really,Gerçekten
man,Adam
some,bazı
say,söylemek
hey,Hey
could,olabilir
d,D
didn,yapmadı
by,ile
need,ihtiyaç
something,bir şey
has,sahip olmak
too,fazla
more,Daha
way,yol
down,aşağı
make,yapmak
very,çok
never,Asla
only,sadece
people,insanlar
over,üzerinde
because,Çünkü
little,biraz
please,Lütfen
love,Aşk
should,yapmalı
mean,Anlam
said,söz konusu
sorry,Üzgünüm
give,vermek
off,kapalı
am,ben
thank,teşekkür etmek
any,herhangi
two,iki
even,eşit
much,fazla
doing,yapmak
sure,Elbette
thing,şey
these,bunlar
help,yardım
first,Birinci
into,içine
anything,herhangi bir şey
still,Hala
find,bulmak
life,hayat
nothing,Hiçbir şey
sir,Sayın
day,gün
god,Tanrı
work,iş
their,onların
uh,ah
again,Tekrar
maybe,Belki
must,mutlak
before,önce
other,diğer
wait,Beklemek
stop,durmak
call,Arama
after,sonrasında
